============================================================================
--------------------------------
Processing add.v.lemma
--------------------------------
	Number of test instances = 100
adding positional word information to wordstream
make: `hdp' is up to date.

Program starts with following parameters:
algorithm:          = train
data_path:          = topicmodel_output/hdpdata.train.txt
directory:          = topicmodel_output
max_iter            = 300
save_lag            = -1
init_topics         = 0
random_seed         = 1372179636
gamma_a             = 1.00
gamma_b             = 0.10
alpha_a             = 1.00
alpha_b             = 1.00
eta                 = 0.50
#restricted_scans   = 5
split-merge         = no
sampling hyperparam = no

reading data from topicmodel_output/hdpdata.train.txt
number of docs  : 299
number of terms : 73
number of total words : 1524
starting with 4 topics 
iter = 00052, #topics = 0006, #tables = 0576, gamma = 0.10000, alpha = 1.00000, likelihood = -6603.82789
iter = 00053, #topics = 0006, #tables = 0576, gamma = 0.10000, alpha = 1.00000, likelihood = -6634.71576
iter = 00054, #topics = 0006, #tables = 0585, gamma = 0.10000, alpha = 1.00000, likelihood = -6750.50149
iter = 00055, #topics = 0006, #tables = 0573, gamma = 0.10000, alpha = 1.00000, likelihood = -6730.01315
iter = 00056, #topics = 0006, #tables = 0598, gamma = 0.10000, alpha = 1.00000, likelihood = -6733.89722
iter = 00057, #topics = 0006, #tables = 0571, gamma = 0.10000, alpha = 1.00000, likelihood = -6719.29928
iter = 00058, #topics = 0006, #tables = 0603, gamma = 0.10000, alpha = 1.00000, likelihood = -6813.07623
iter = 00059, #topics = 0006, #tables = 0605, gamma = 0.10000, alpha = 1.00000, likelihood = -6778.19410
iter = 00060, #topics = 0006, #tables = 0589, gamma = 0.10000, alpha = 1.00000, likelihood = -6736.71916
iter = 00061, #topics = 0006, #tables = 0602, gamma = 0.10000, alpha = 1.00000, likelihood = -6759.94002
iter = 00062, #topics = 0006, #tables = 0584, gamma = 0.10000, alpha = 1.00000, likelihood = -6640.50681
iter = 00063, #topics = 0006, #tables = 0600, gamma = 0.10000, alpha = 1.00000, likelihood = -6698.18260
iter = 00064, #topics = 0006, #tables = 0593, gamma = 0.10000, alpha = 1.00000, likelihood = -6715.66553
iter = 00065, #topics = 0006, #tables = 0591, gamma = 0.10000, alpha = 1.00000, likelihood = -6733.55845
iter = 00066, #topics = 0007, #tables = 0588, gamma = 0.10000, alpha = 1.00000, likelihood = -6789.22761
iter = 00067, #topics = 0006, #tables = 0600, gamma = 0.10000, alpha = 1.00000, likelihood = -6802.48298
iter = 00068, #topics = 0006, #tables = 0616, gamma = 0.10000, alpha = 1.00000, likelihood = -6840.98257
iter = 00069, #topics = 0006, #tables = 0599, gamma = 0.10000, alpha = 1.00000, likelihood = -6819.00678
iter = 00070, #topics = 0006, #tables = 0598, gamma = 0.10000, alpha = 1.00000, likelihood = -6799.70098
iter = 00071, #topics = 0006, #tables = 0612, gamma = 0.10000, alpha = 1.00000, likelihood = -6872.83068
iter = 00072, #topics = 0006, #tables = 0583, gamma = 0.10000, alpha = 1.00000, likelihood = -6720.12508
iter = 00073, #topics = 0007, #tables = 0592, gamma = 0.10000, alpha = 1.00000, likelihood = -6717.88970
iter = 00074, #topics = 0007, #tables = 0577, gamma = 0.10000, alpha = 1.00000, likelihood = -6755.50890
iter = 00075, #topics = 0007, #tables = 0573, gamma = 0.10000, alpha = 1.00000, likelihood = -6735.32150
iter = 00076, #topics = 0007, #tables = 0591, gamma = 0.10000, alpha = 1.00000, likelihood = -6815.93708
iter = 00077, #topics = 0007, #tables = 0598, gamma = 0.10000, alpha = 1.00000, likelihood = -6861.26637
iter = 00078, #topics = 0007, #tables = 0608, gamma = 0.10000, alpha = 1.00000, likelihood = -6821.13711
iter = 00079, #topics = 0007, #tables = 0628, gamma = 0.10000, alpha = 1.00000, likelihood = -6862.73206
iter = 00080, #topics = 0007, #tables = 0603, gamma = 0.10000, alpha = 1.00000, likelihood = -6821.24215
iter = 00081, #topics = 0007, #tables = 0623, gamma = 0.10000, alpha = 1.00000, likelihood = -6819.45421
iter = 00082, #topics = 0007, #tables = 0594, gamma = 0.10000, alpha = 1.00000, likelihood = -6811.72444
iter = 00083, #topics = 0007, #tables = 0582, gamma = 0.10000, alpha = 1.00000, likelihood = -6758.67253
iter = 00084, #topics = 0007, #tables = 0599, gamma = 0.10000, alpha = 1.00000, likelihood = -6855.20743
